url,product_title,vendeur,retrait,product_price,licence,Descriptif_produit,marque,GTIN,ref_EAN,etoile,etoile_qualite_prix
https://www.auchan.fr/fleury-michon-jambon-filiere-francaise-sans-nitrite/pr-C1215835,Jambon filière française sans nitrite,,,,,,,,"862529,/,3095757901011",,
https://www.auchan.fr/auchan-jambon-superieur-avec-couenne/pr-C1219391,Jambon supérieur avec couenne,,,,,,,,"20582,/,3596710451296,/,3596710480647",4.3,1.0
https://www.auchan.fr/l-italie-des-saveurs-gressins-aux-olives/pr-C1352189,Gressins aux olives,,,,,,,,"35979,/,8059070740578","3,7",
https://www.auchan.fr/hari-co-curry-vert-legumes-au-lait-de-coco-riz-et-lentilles-vertes/pr-C1634429,Curry vert légumes au lait de coco riz et lentilles vertes,,,,,,,,"207098,/,3760257091332",,
https://www.auchan.fr/viennoiseries-pain-suisse-au-chocolat/pr-C1192055,Pain suisse au chocolat,,,,,,,,"306597,/,2030503065976",,
https://www.auchan.fr/auchan-bio-petits-pains-grilles-froment/pr-C1271916,Petits pains grillés froment,,,,,,,,"319593,/,3596710458134",4.3,
https://www.auchan.fr/auchan-le-traiteur-coffret-aux-ris-de-veau/pr-C1349007,Coffret aux ris de veau,,,,,,,,"790219,/,3254567902193",,
https://www.auchan.fr/jacquet-mini-pain-d-epices-figues-pour-foie-gras/pr-C1194645,Mini pain d'épices figues pour foie gras,,,,,,,,"797446,/,3029330066019",5,
https://www.auchan.fr/auchan-le-traiteur-saute-de-veau-aux-olives-et-fusilli/pr-C1352169,Sauté de veau aux olives et fusilli,,,,,,,,"380656,/,3254563806563",4.0,
https://www.auchan.fr/viennoiseries-chausson-pomme-framboise/pr-C1196554,Chausson pomme framboise,,,,,,,,"21417,/,2030500214179",,
https://www.auchan.fr/auchan-allumettes-fumees/pr-C1219576,Allumettes fumées,,,,,,,,"37725,/,3596710343089,/,3596710430109,/,3596710430147,/,3596710430185","4,4",3.5
https://www.auchan.fr/herta-allumettes-fumees-sans-nitrite/pr-C1453087,Allumettes fumées sans nitrite,,,,,,,,"326757,/,3154230802310",4.5,
https://www.auchan.fr/grand-vallee-petits-rillons/pr-C1215331,Petits rillons,,,,,,,,"28532,/,3233970909036",4.0,
https://www.auchan.fr/fleury-michon-jambon-le-superieur-sans-nitrite/pr-C1385013,Jambon le supérieur sans nitrite,,,,,,,,"985563,/,3302740047367",4.8,
https://www.auchan.fr/fleury-michon-jambon-tranche-fin-reduit-en-sel-sans-nitrite/pr-C1218657,Jambon tranché fin réduit en sel sans nitrite,,,,,,,,"19473,/,3095754220016",4.3,2.0
https://www.auchan.fr/festein-d-alsace-saucisse-de-jambon/pr-C1221158,Saucisse de jambon,,,,,,,,"300494,/,3289740423349",4.7,
https://www.auchan.fr/auchan-gourmet-jambon-superieur-label-rouge/pr-C1219801,Jambon supérieur label rouge,,,,,,,,"246965,/,3596710335565","4,1",
https://www.auchan.fr/viennoiseries-croissants-pur-beurre/pr-C1468981,Croissants pur beurre,,,,,,,,"347498,/,2030503474983",3.5,
https://www.auchan.fr/auchan-mousse-pur-canard-de-qualite-superieure/pr-C1215429,Mousse pur canard de qualité supérieure,,,,,,,,"22991,/,3596710424214","4,5",5.0
https://www.auchan.fr/viennoiseries-croissant-pur-beurre/pr-C1192138,Croissant pur beurre,,,,,,,,"541365,/,2030505413652","4,6",
https://www.auchan.fr/l-atelier-blini-ktipiti-extra-poivron-yaourt-a-la-grecque-feta-menthe/pr-C1196813,Ktipiti extra poivron yaourt à la grecque feta menthe,,,,,,,,"340617,/,3292070005154",4.5,3.0
https://www.auchan.fr/paso-prefou-au-chevre/pr-C1627362,Préfou au chèvre,,,,,,,,"45554,/,3760298511936",,
https://www.auchan.fr/viennoiseries-pain-au-raisin/pr-C1195499,Pain au raisin,,,,,,,,"654751,/,2030506547516","4,8",
https://www.auchan.fr/labeyrie-bloc-de-foie-gras-de-canard-de-france-avec-morceaux/pr-C1205726,Bloc de foie gras de canard de France avec morceaux,,,,,,,,"371844,/,3033610030485",,
https://www.auchan.fr/l-atelier-blini-guacamole-extra/pr-C1194762,Guacamole extra,,,,,,,,"796014,/,3292070006564","4,2",
https://www.auchan.fr/auchan-le-charcutier-jambon-cuit-superieur-fume-avec-couenne/pr-C1385197,Jambon cuit supérieur fumé avec couenne,,,,,,,,"545440,/,3254565454403",3.0,4.0
https://www.auchan.fr/auchan-tapenade-d-olives-vertes/pr-C1430996,Tapenade d'olives vertes,,,,,,,,"223620,/,3596710495252",3.3,
https://www.auchan.fr/blini-houmous-a-la-truffe-blanche-d-ete/pr-C1184455,Houmous à la truffe blanche d'été,,,,,,,,"310192,/,3292070009718","4,2",
https://www.auchan.fr/auchan-mini-cakes-saumon-fromage-frais/pr-C1809389,Mini cakes saumon fromage frais,,,,,,,,"62494,/,3596710542949",2.0,
https://www.auchan.fr/mon-boucher-echine-de-porc-a-rotir/pr-C1494115,Echine de porc à rôtir,,,,,,,,"17176,/,2030500171762",4.2,5.0
https://www.auchan.fr/mon-boucher-filet-mignon-de-porc-a-rotir-origine-france/pr-C1494073,Filet mignon de porc à rôtir origine France,,,,,,,,"19008,/,2030500190084",3.7,
https://www.auchan.fr/salaisons-du-mont-blanc-saucisson-sec-pur-porc-au-beaufort/pr-C1813114,Saucisson sec pur porc au Beaufort,,,,,,,,"300399,/,3501140087205",,
https://www.auchan.fr/agis-galette-jambon-champignons-de-paris-et-emmental/pr-C1351026,Galette jambon champignons de Paris et emmental,,,,,,,,"383840,/,3254563838403",3.0,
https://www.auchan.fr/mon-boucher-filet-mignon-de-porc-a-rotir/pr-C1494074,Filet mignon de porc à rôtir,,,,,,,,"18984,/,2030500189842",4.5,4.0
https://www.auchan.fr/maison-monterrat-pate-en-croute-saveur-olives-vertes-et-noires/pr-C1204322,Pâté en croûte saveur olives vertes et noires,,,,,,,,"309456,/,3323790610585",,
https://www.auchan.fr/mon-boucher-echine-de-porc-avec-os-a-griller-x1/pr-C1494113,Echine de porc avec os à griller X1,,,,,,,,"18779,/,2030500187794",2.4,1.0
https://www.auchan.fr/viennoiseries-briochet-chocolat-x5-1/pr-C1487255,Briochet chocolat X5+1,,,,,,,,"380872,/,2030503808726",3.8,
https://www.auchan.fr/viennoiseries-assortiment-de-mini-viennoiseries-pur-beurre/pr-C1199972,Assortiment de mini viennoiseries pur beurre,,,,,,,,"43866,/,2030500438667",4.8,
https://www.auchan.fr/viennoiseries-croissant-pur-beurre/pr-C1192136,Croissant pur beurre,,,,,,,,"541377,/,2030505413775",3.5,
